Date,Lower Hutt,Petone,Wainuiomata,Upper Hutt,Porirua,Wellington High (Moa),Wellington High (Western),Wellington Low Level,North Wellington (Moa),North Wellington (Porirua)
2009-04-05,266.6005779,269.6592127,199.763926,249.6147324,260.4052188,266.615219,267.2856562,282.9179097,262.6324283,254.3012986
2009-04-06,235.7074619,243.6978926,149.7024573,232.6736708,221.6002169,343.2618998,344.123319,296.2845338,198.1961436,191.9116917
2009-04-07,226.7127534,218.8455769,165.7459496,193.1062173,184.2606724,296.6328747,297.3757608,276.9124209,174.1954595,168.6743593
2009-04-08,259.0322302,286.5403949,211.2270354,184.8476071,206.6787753,352.6176061,353.4988968,254.4569381,229.9923796,222.705883
2009-04-09,178.8522525,230.1864229,146.2965407,184.4332246,175.5954117,263.2355225,263.8920759,256.0547311,122.2495456,118.3781369
2009-04-10,232.1361702,197.4996906,204.1554602,220.2725535,220.7516429,199.061261,199.5567351,258.5814786,260.5833315,252.3346454
2009-04-11,200.7858561,206.5528214,182.8324679,186.0829866,196.7817924,169.8916067,170.3136072,240.8189595,208.3772726,201.7839429
2009-04-12,219.923512,189.9895682,156.2107909,203.0371487,202.17038,158.4266252,158.8193372,226.3334473,205.3032139,198.8098996
2009-04-13,222.9747774,184.1091014,202.6372969,219.8309215,217.5672376,205.9175178,206.4268986,239.2379143,215.6009778,208.7848526
2009-04-14,243.3127388,272.0231081,185.4060706,205.6527426,226.8732225,304.208127,304.959095,292.4160042,217.6106208,210.7338745
2009-04-15,240.1580813,257.0306279,164.268981,200.3596056,202.9416484,311.6494433,312.4171874,278.2481355,205.2737251,198.7895865
2009-04-16,254.3034206,247.7838275,173.1848575,215.274217,202.2421756,302.8943218,303.638949,242.5225887,198.0938389,191.8391482
2009-04-17,227.5420123,260.4464373,185.6623307,198.8116897,178.7936588,295.3690641,296.0936812,282.5612334,194.3192181,188.1863096
2009-04-18,282.1136838,260.5915009,216.7077842,230.7730309,213.2435187,255.4434621,256.0688254,304.4566075,248.7127085,240.8664158
2009-04-19,254.0596474,206.1924935,195.3756332,232.8259086,209.4126569,235.0007414,235.5748564,272.7420247,238.0768815,230.56931
2009-04-20,206.3556367,269.1636651,145.8144549,181.6188356,164.8092689,294.0998241,294.8168167,255.6504204,159.9949634,154.9517863
2009-04-21,252.3081195,242.8514134,168.2627082,195.1383274,200.6087131,306.8683245,307.614877,266.32411,208.1163729,201.5591533
2009-04-22,227.1650843,291.1631312,195.5991456,195.9853809,186.5869881,312.3216501,313.0798729,279.8651522,206.8963806,200.3803687
2009-04-23,254.8726271,189.0460529,151.442973,203.5601952,189.6255953,300.188489,300.9157217,255.5367103,192.4512599,186.3927591
2009-04-24,243.72871,308.516111,162.7522675,198.3335236,184.3219486,281.6113541,282.2921425,273.9708286,193.8052526,187.7067205
2009-04-25,241.1107387,228.1279322,180.1780268,213.9489205,201.7372206,207.6709758,208.1719536,283.0674953,224.2615266,217.207618
2009-04-26,205.9576852,208.1613094,187.7604521,202.7668491,189.8210462,218.8816563,219.4085597,232.9483775,216.6187002,209.8080871
2009-04-27,225.5631432,159.9593166,164.609001,170.8412103,168.187224,298.471109,299.1880787,263.6478055,187.073708,181.194509
2009-04-28,200.8772815,283.2193403,158.5698672,199.0562688,166.3744715,310.4364489,311.1805744,258.2476697,203.128891,196.7478407
2009-04-29,234.9176485,178.7865747,151.808785,163.9732428,166.8936989,296.0166591,296.724707,259.3360507,181.2371557,175.5462329
2009-04-30,203.1523686,295.2731328,178.1275894,177.8321187,171.1289418,281.4458703,282.1176277,228.0511968,179.3890294,173.7585385
2009-05-01,202.5391477,230.0656895,179.2203964,182.1050678,172.9796026,299.8820151,300.5962434,256.2617977,184.8053545,179.0073337
2009-05-02,220.9960408,239.9703023,232.277841,206.1430352,181.3827883,237.4492671,238.0135861,274.3104613,245.6662605,237.9620966
2009-05-03,236.783867,234.2966518,192.8131699,217.0133628,204.0884511,248.530104,249.1194875,272.0545857,233.7341796,226.407336
2009-05-04,237.1347288,172.1376377,135.1197208,192.9938854,201.6288216,298.6433265,299.3500262,240.6884821,200.2988173,194.0227484
2009-05-05,223.670736,227.9422305,175.9477473,162.1733998,146.7579149,313.3387988,314.0786723,284.9196995,177.3320873,171.7780193
2009-05-06,207.2444629,155.6952581,203.7501661,161.4499455,153.7054186,296.8822062,297.5817045,244.1744904,200.8272617,194.5400076
2009-05-07,264.2128625,313.6667299,143.5517827,230.0513114,203.2110175,335.6404764,336.4295798,253.3055121,218.2515804,211.4217465
2009-05-08,172.1380556,285.4359269,166.4479849,164.933369,141.6977589,249.7470793,250.332968,231.3300813,160.9032701,155.8702119
2009-05-09,242.0041561,211.679676,203.5799228,206.1069003,201.9697105,209.3818236,209.8719486,249.294893,230.9755095,223.7536794
2009-05-10,217.7378856,221.765963,175.1901458,189.0337475,192.4355669,220.8014168,221.3171448,254.5862815,216.7129107,209.9399228
2009-05-11,222.0294651,95.24519557,155.2711001,182.2602722,155.9419074,303.9062989,304.6145833,249.7946951,198.2709221,192.0769585
2009-05-12,234.4549267,407.3832052,183.5185619,202.7959347,166.8462554,307.3453846,308.0601139,257.5523518,202.4205529,196.0996625
2009-05-13,222.993021,168.4293472,140.6375205,180.2494412,152.3929012,325.7996894,326.5556697,263.319996,204.4270524,198.0462399
2009-05-14,238.860843,361.5253498,131.7879973,197.4234336,188.3100493,309.0404208,309.7559345,272.4434237,193.0540186,187.0307761
2009-05-15,190.4210701,228.5671531,225.6188449,156.3169229,148.5517325,242.5300911,243.0903761,218.0805473,183.0268969,177.318946
2009-05-16,220.9584467,218.5459656,175.1945933,176.6626126,189.49414,208.917885,209.399453,272.7477274,214.4660793,207.7805213
2009-05-17,252.2361506,227.8323293,202.8497307,209.6932092,210.7839655,242.8274281,243.3859192,245.8879467,222.2185913,215.2943356
2009-05-18,221.7133171,207.1148204,143.6857449,193.890054,180.7702403,311.7225564,312.4379107,244.6012463,206.8814378,200.4378489
2009-05-19,227.9569072,289.5564582,188.9783589,186.8428923,191.1972126,309.2759714,309.9841316,257.3539435,209.0075424,202.500528
2009-05-20,222.5376691,251.8765508,173.7817084,172.4519452,165.3560696,310.3441499,311.0531708,267.8981938,177.3642412,171.8447466
2009-05-21,209.779583,211.9915479,145.2730496,222.7594746,181.5981322,293.3071461,293.9757457,234.6599914,192.3418017,186.358784
2009-05-22,200.7164364,258.1449047,175.3455485,164.0109684,140.6257338,184.9408689,185.3615009,256.1297666,174.4272907,169.003857
2009-05-23,209.0358975,270.8446027,148.8671295,222.1123785,174.7687042,176.9967199,177.3983797,227.6327589,217.0297992,210.2846357
2009-05-24,231.5618619,180.6772634,204.8540887,208.7836146,186.6120955,224.7121577,225.2209508,253.9399861,205.3101352,198.9319571
2009-05-25,232.7226609,238.3407773,194.7413716,187.5580799,174.0383519,286.8570385,287.5050752,255.2464312,204.0042219,197.6693407
2009-05-26,234.1066032,298.4912167,155.7438363,204.8140156,186.9889303,302.5764509,303.2584541,257.711137,211.8949993,205.3179209
2009-05-27,216.3120247,324.7674935,195.1518212,187.2245339,183.5294063,285.4967025,286.1387503,275.0924211,208.5241219,202.0544608
2009-05-28,236.5689068,220.3401652,161.8363325,188.1653912,178.3565135,304.854281,305.538305,267.4150948,194.1845611,188.1623945
2009-05-29,201.6673707,236.0968252,185.3497101,173.1853773,166.656314,217.3492121,217.8357848,258.1092327,182.881486,177.2123018
2009-05-30,224.563051,241.2693512,179.8834498,191.9489585,178.0294909,171.3350048,171.7176921,228.4113385,208.6092477,202.1453113
2009-05-31,189.6987246,194.6835086,167.1267794,160.9794442,151.2460726,149.1712618,149.5036834,231.859562,184.5507421,178.8347459
